CT1|042|NMANATYANMY|VCMMWKRKMA|001|001|VENDOR VCMMWKRKMA|VENDOR VCMMWKRKMA|SUBVENDOR VSMMMWTMTF|VSMMMWTMTF|SUBVENDOR VSMMMWTMTF|2013-03-27 00:00:00|379329.45|Furnish Labor & Material for Pool Covers Change Order No. 2|FURNISH LABOR & MATERIAL FOR POOL COVERS CHANGE ORDER NO. 2|CK # 5685|CK # 5685|0|[CT1,042,NMANATYANMY]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|007|007|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMMTRMKMR|MMMMTRMKMR|SUBVENDOR MMMMTRMKMR|2014-03-04 00:00:00|1673|Ceramic Tile|CERAMIC TILE|Check #001098|CHECK #001098|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|018|018|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR VCMMWFWAKN|VCMMWFWAKN|SUBVENDOR VCMMWFWAKN|2014-03-04 00:00:00|27588|Ceilings, Doors & Frames|CEILINGS, DOORS & FRAMES|Check #001102|CHECK #001102|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|031|019|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMWNAKNMR|MMMWNAKNMR|SUBVENDOR MMMWNAKNMR|2013-03-04 00:00:00|30339|Masonry|MASONRY|Check #001105|CHECK #001105|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|031|017|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMWNAKNMR|MMMWNAKNMR|SUBVENDOR MMMWNAKNMR|2013-02-05 00:00:00|0|Masonry|MASONRY|Check #001090|CHECK #001090|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|031|018|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMWNAKNMR|MMMWNAKNMR|SUBVENDOR MMMWNAKNMR|2013-02-02 00:00:00|24099|Masonry|MASONRY|Check #001090|CHECK #001090|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|042|041|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMMKUMNNM|MMMMKUMNNM|SUBVENDOR MMMMKUMNNM|2013-01-16 00:00:00|0|HVAC|HVAC|Check #001079|CHECK #001079|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|042|044|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMMKUMNNM|MMMMKUMNNM|SUBVENDOR MMMMKUMNNM|2012-03-04 00:00:00|158453|HVAC|HVAC|Check #001099|CHECK #001099|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|042|042|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMMKUMNNM|MMMMKUMNNM|SUBVENDOR MMMMKUMNNM|2013-01-16 00:00:00|0|HVAC|HVAC|Check #001079|CHECK #001079|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|042|043|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMMKUMNNM|MMMMKUMNNM|SUBVENDOR MMMMKUMNNM|2013-03-04 00:00:00|169653|HVAC|HVAC|Check #001108|CHECK #001108|0|[CT1,126,NMMDMMADDTN]|
CT1|126|NMMDMMADDTN|MMMMNTKRNA|059|003|VENDOR MMMMNTKRNA|VENDOR MMMMNTKRNA|SUBVENDOR MMMMTEWAFF|MMMMTEWAFF|SUBVENDOR MMMMTEWAFF|2012-03-04 00:00:00|2018|Concrete Work|CONCRETE WORK|Check #001101|CHECK #001101|1|[CT1,126,NMMDMMADDTN]|
CT1|781|NMANATYETYT|VSMMMMUUEU|001|017|VENDOR VSMMMMUUEU|VENDOR VSMMMMUUEU|SUBVENDOR VSMMMWFFFM|VSMMMWFFFM|SUBVENDOR VSMMMWFFFM|2012-03-27 00:00:00|89854.07|February 2015 collection services|FEBRUARY 2015 COLLECTION SERVICES|Payment confirmed in internal CGI A/P system|PAYMENT CONFIRMED IN INTERNAL CGI A/P SYSTEM|0|[CT1,781,NMANATYETYT]|
